"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"F1";"Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Polyfuse_Small";;;
2;"R2";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"2k";;;
3;"D29,D28,D25,D23,D24,D22,D27,D21,D26,D30,D11,D18,D16,D9,D10,D17,D19,D12,D14,D8,D3,D15,D4,D7,D1,D20,D13,D5,D6,D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";30;"WS2812B";;;
4;"H3,H4,H1";"MountingHole_4.3mm_M4_Pad_Via";3;"MountingHole";;;
5;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
6;"R6,R7";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"5.1K";;;
7;"SW4";"SW_SPDT_PCM12";1;"SW_DIP_x01";;;
8;"C6,C7";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";2;"4.7uF";;;
9;"R5";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"470";;;
10;"D33";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
11;"R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
12;"Enable1";"SW_SPST_SKQG_WithStem";1;"Enable1";;;
13;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"UART";;;
14;"U2";"SOT-223-3_TabPin2";1;"MCP1792x-3302xDB";;;
15;"Btn2,Boot1,Btn1";"SW_SPST_SKQG_WithStem";3;"Boot1";;;
16;"U3";"SOT-23-5";1;"MCP73831-2-OT";;;
17;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Boot Option";;;
18;"U1";"MODULE_ESP32-C3-WROOM-02-H4";1;"ESP32-C3-WROOM-02-H4";;;
19;"C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uF";;;
20;"J3";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
21;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
22;"R1,R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
23;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
24;"J1";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"Li-po";;;
