Designator,Footprint,Quantity,Value,LCSC Part #
"BTN1, BTN2",SW_SPST_SKQG_WithStem,2,button,C318884
BTN3,SW_SPST_SKQG_WithStem,1,Boot,C318884
BTN4,SW_SPST_SKQG_WithStem,1,Enable,C318884
C1,0805,1,10uF,C15850
C2,0805,1,0.1uF,C28233
C3,0805,1,1uF,C28323
"C4, C5",0805,2,2.2uF,C377773
"C6, C7",0805,2,4.7uF,C1779
"D31, D32",D_SMA,2,SS34,C8678
"D33, D34",0805,2,LED,C2297
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1, R3, R4",0805,3,10k,C17414
"R10, R11",0805,2,22,C17561
"R12, R5, R8, R9",0805,4,1k,C17513
R2,0805,1,2k,C17604
"R6, R7",0805,2,5.1K,C27834
SW1,SW_SPDT_CK_JS102011SAQN,1,SW_SPDT,C221660
U3,SOT-23-5,1,MCP73831-2-OT,C424093
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
