Designator,Mid X,Mid Y,Rotation,Layer
C1,186.91,-65.73,90.0,top
C16,168.42,-74.0,18.0,top
C17,150.0,-60.8425,90.0,top
C18,131.83,-86.25,198.0,top
C19,150.25,-99.0,90.0,top
C2,189.39,-65.71,270.0,top
C20,137.5,-52.5,0.0,top
C21,179.6,-67.8,0.0,top
C3,179.74,-53.45,180.0,top
C4,128.0,-48.0,0.0,top
C5,119.0,-63.5,0.0,top
C6,128.0,-51.0,0.0,top
C7,128.0,-54.0,0.0,top
D21,166.9,-80.0,270.0,top
D22,163.677959,-70.052059,306.0,top
D23,155.224257,-63.928698,342.0,top
D24,144.770988,-63.931218,18.0,top
D25,136.349149,-70.082211,54.0,top
D26,133.110886,-79.973211,90.0,top
D27,136.320852,-89.942249,126.0,top
D28,144.775633,-96.06084,162.0,top
D29,155.232516,-96.084199,198.0,top
D30,163.673257,-89.918084,234.0,top
D34,184.545,-61.67375,180.0,top
J3,149.949998,-38.030001,180.0,top
Q1,133.0,-51.0,180.0,top
R1,179.71,-55.89,0.0,top
R10,176.52,-91.81,270.0,top
R11,178.68,-91.8,270.0,top
R12,184.545,-59.2925,180.0,top
R13,129.0,-45.5,180.0,top
R14,119.5,-57.2,0.0,top
R15,124.0,-59.7,0.0,top
R17,137.5,-49.5,0.0,top
R18,176.8,-59.4,0.0,top
R19,176.8,-61.8,0.0,top
R2,124.0,-57.2,0.0,top
R3,183.55,-66.78,180.0,top
R4,175.36,-65.62,270.0,top
R6,154.42,-45.73,270.0,top
R7,145.42,-45.73,270.0,top
R8,183.459017,-91.797785,180.0,top
R9,180.87,-95.13,180.0,top
SW1,136.3,-38.9,198.0,top
U1,181.44,-78.980001,270.0,top
U3,121.0,-53.0,0.0,top
U4,124.0,-63.5,180.0,top
